cell_line	BMS_777607_concentration 	rep1	rep2	rep3	rep4	rep5	rep6	Avg	SEM	treatment
A375	0 uM	104.0086395	95.99136046	103.1668252	96.83317476	103.5629568	96.43704324	100	1.608159072	untreated
A375	1 uM 	106.4266597	96.93251342	105.4297743	97.92939878	105.8988775	97.46029566	101.6795866	1.9043989	untreated
A375	2 uM 	104.5567574	97.48889292	103.8146316	98.23101869	104.1638528	97.88179748	101.0228252	1.417719181	untreated
A375	3 uM 	97.01115046	88.80926297	96.14995228	89.67046116	96.55520525	89.26520819	92.91020672	1.64518905	untreated
A375	0 uM	89.87837578	89.6517061	89.85457546	89.67550641	89.86577515	89.66430673	89.76504094	0.04546691	TSZ
A375	1 uM 	83.91640234	82.58876562	83.77700048	82.72816748	83.84259864	82.66256932	83.25258398	0.266306188	TSZ
A375	2 uM 	81.74261441	79.57306173	81.51481138	79.80086476	81.62200837	79.69366777	80.65783807	0.435183282	TSZ
A375	3 uM 	71.66676869	68.16957929	71.2995638	68.53678417	71.47235895	68.36398902	69.91817399	0.70148947	TSZ
Sk-Mel-28	0 uM	103.4880594	96.51194056	102.755567	97.24443304	103.100255	96.89974495	100	1.399316244	untreated
Sk-Mel-28	1 uM 	98.80925736	93.8097055	98.28430442	94.33465844	98.53133088	94.08763198	96.30948143	1.002843309	untreated
Sk-Mel-28	2 uM 	101.9962529	96.21188763	101.3888945	96.81924598	101.6746984	96.53344211	99.10407025	1.160266386	untreated
Sk-Mel-28	3 uM 	86.36848755	83.22923406	86.03886594	83.55885567	86.19397558	83.40374603	84.7988608	0.62969231	untreated
Sk-Mel-28	0 uM	99.7595798	92.89972956	99.03929552	93.62001384	99.37823881	93.28107055	96.32965468	1.375994307	TSZ
Sk-Mel-28	1 uM 	85.15788353	82.86157773	84.91677142	83.10268984	85.03023125	82.98923001	84.00973063	0.460608264	TSZ
Sk-Mel-28	2 uM 	80.93072735	76.07651129	80.42103466	76.58620398	80.66088012	76.34635852	78.50361932	0.973690887	TSZ
Sk-Mel-28	3 uM 	69.73736019	66.01676346	69.34669754	66.40742611	69.53053118	66.22359247	67.87706183	0.746301997	TSZ
