Gene_Symbols	Pearson_coefficient	Bonferroni_pvalue
CFL2	0.379271031	2.03374E-17
TUBB2A	0.362830587	1.00372E-15
PFN2	0.35963687	2.0864E-15
SGCE	0.349799182	1.88792E-14
TPST1	0.34652447	3.86399E-14
TUBB3	0.346501566	3.88328E-14
ZC2HC1A	0.338252528	2.27311E-13
CALD1	0.33052715	1.13443E-12
CAMSAP2	0.329986928	1.26725E-12
FERMT2	0.32991624	1.28573E-12
NRSN2	0.326935262	2.35891E-12
MPDZ	0.32442139	3.91498E-12
COPS8	0.324033518	4.23151E-12
CSRP2	0.323128494	5.07097E-12
CAP2	0.322791243	5.4239E-12
SNX24	0.320796242	8.06156E-12
SGCB	0.318566453	1.25104E-11
PRKD1	0.31560872	2.22835E-11
ANXA5	0.314679005	2.66819E-11
MTX3	0.313756015	3.1887E-11
PEA15	0.309883179	6.69021E-11
TBC1D9	0.306593971	1.24473E-10
C9orf25	0.301924455	2.9654E-10
SYDE1	0.300534076	3.82858E-10
MAP1B	0.298472757	5.57752E-10
AXL	0.212413215	0.000291773
MLKL	-0.254549304	8.45344E-07
RIPK3	-0.436485009	4.11662E-24
